N,d,l,o,r,m,estimate,target
500,1,0.75,1.0,1,Smax,0.023390692931655743,0.0
1000,1,0.75,1.0,1,Smax,-0.03805632217426529,0.0
500,2,0.75,1.0,1,Smax,0.1919709306555285,0.0
1000,2,0.75,1.0,1,Smax,0.1637428847761236,0.0
500,3,0.75,1.0,1,Smax,0.17937551911202554,0.0
1000,3,0.75,1.0,1,Smax,0.17151069283872367,0.0
500,4,0.75,1.0,1,Smax,0.18682989189004587,0.0
1000,4,0.75,1.0,1,Smax,-0.06893043232756285,0.0
500,1,1.75,1.0,1,Smax,0.021833289089579537,0.0
1000,1,1.75,1.0,1,Smax,-0.0024014019899961103,0.0
500,2,1.75,1.0,1,Smax,-0.05886781108719005,0.0
1000,2,1.75,1.0,1,Smax,0.02171222832110126,0.0
500,3,1.75,1.0,1,Smax,-0.06018955775633898,0.0
1000,3,1.75,1.0,1,Smax,0.01940554878626193,0.0
500,4,1.75,1.0,1,Smax,-0.10352270839524545,0.0
1000,4,1.75,1.0,1,Smax,0.06457435901909518,0.0
500,1,0.75,1.4142135623730951,1,Smax,0.0026873716252629335,0.0
1000,1,0.75,1.4142135623730951,1,Smax,0.00832739025719723,0.0
500,2,0.75,1.4142135623730951,1,Smax,-0.1495114245020686,0.0
1000,2,0.75,1.4142135623730951,1,Smax,-0.14075420888860296,0.0
500,3,0.75,1.4142135623730951,1,Smax,-0.00017627291932048074,0.0
1000,3,0.75,1.4142135623730951,1,Smax,0.23193955420305326,0.0
500,4,0.75,1.4142135623730951,1,Smax,-0.14959284411352483,0.0
1000,4,0.75,1.4142135623730951,1,Smax,-0.03677500664972717,0.0
500,1,1.75,1.4142135623730951,1,Smax,0.16031090200864145,0.0
1000,1,1.75,1.4142135623730951,1,Smax,-0.12316773228476434,0.0
500,2,1.75,1.4142135623730951,1,Smax,0.11398896080995889,0.0
1000,2,1.75,1.4142135623730951,1,Smax,0.20317991367233884,0.0
500,3,1.75,1.4142135623730951,1,Smax,0.40573479900574805,0.0
1000,3,1.75,1.4142135623730951,1,Smax,-0.05877363405955913,0.0
500,4,1.75,1.4142135623730951,1,Smax,-0.11079437177578648,0.0
1000,4,1.75,1.4142135623730951,1,Smax,-0.04767350456707454,0.0
500,1,0.75,1.0,2,Smax,-0.10358747583333806,0.0
1000,1,0.75,1.0,2,Smax,0.028803334935567835,0.0
500,2,0.75,1.0,2,Smax,-0.013453158822659027,0.0
1000,2,0.75,1.0,2,Smax,-0.1297403841231039,0.0
500,3,0.75,1.0,2,Smax,-0.020322540996152737,0.0
1000,3,0.75,1.0,2,Smax,0.08484723119373115,0.0
500,4,0.75,1.0,2,Smax,-0.024849736707381814,0.0
1000,4,0.75,1.0,2,Smax,0.08474556386746705,0.0
500,1,1.75,1.0,2,Smax,0.035468223999090435,0.0
1000,1,1.75,1.0,2,Smax,0.03789683319272668,0.0
500,2,1.75,1.0,2,Smax,-0.05338374764868519,0.0
1000,2,1.75,1.0,2,Smax,0.05083769738974392,0.0
500,3,1.75,1.0,2,Smax,0.04107232858814693,0.0
1000,3,1.75,1.0,2,Smax,0.0850238612013461,0.0
500,4,1.75,1.0,2,Smax,0.05874592363432196,0.0
1000,4,1.75,1.0,2,Smax,-0.027116608404295046,0.0
500,1,0.75,1.4142135623730951,2,Smax,-0.09725975728226591,0.0
1000,1,0.75,1.4142135623730951,2,Smax,0.012388458573611726,0.0
500,2,0.75,1.4142135623730951,2,Smax,-0.038408832289317775,0.0
1000,2,0.75,1.4142135623730951,2,Smax,0.024100261703923733,0.0
500,3,0.75,1.4142135623730951,2,Smax,0.013242677282739437,0.0
1000,3,0.75,1.4142135623730951,2,Smax,0.0004454399210891847,0.0
500,4,0.75,1.4142135623730951,2,Smax,0.08524004909513373,0.0
1000,4,0.75,1.4142135623730951,2,Smax,-0.16759024827239616,0.0
500,1,1.75,1.4142135623730951,2,Smax,-0.008271087468632823,0.0
1000,1,1.75,1.4142135623730951,2,Smax,-0.024953280765911707,0.0
500,2,1.75,1.4142135623730951,2,Smax,0.1202261790031151,0.0
1000,2,1.75,1.4142135623730951,2,Smax,0.05903720897812168,0.0
500,3,1.75,1.4142135623730951,2,Smax,0.054200783788933685,0.0
1000,3,1.75,1.4142135623730951,2,Smax,0.03946072588486467,0.0
500,4,1.75,1.4142135623730951,2,Smax,-0.06570984622142964,0.0
1000,4,1.75,1.4142135623730951,2,Smax,-0.14917064116467063,0.0
500,1,0.75,1.0,3,Smax,-0.029399329221424783,0.0
1000,1,0.75,1.0,3,Smax,0.06610105561416602,0.0
500,2,0.75,1.0,3,Smax,0.1924161790359369,0.0
1000,2,0.75,1.0,3,Smax,0.10631026521766374,0.0
500,3,0.75,1.0,3,Smax,0.05801667584044332,0.0
1000,3,0.75,1.0,3,Smax,0.23099143703378536,0.0
500,4,0.75,1.0,3,Smax,-0.062458609005525155,0.0
