N,d,l,o,r,m,estimate,target
500,1,0.75,1.0,1,Sfit,0.024758654087391557,0.0
1000,1,0.75,1.0,1,Sfit,-0.03321344690034551,0.0
500,2,0.75,1.0,1,Sfit,0.21515321338557958,0.0
1000,2,0.75,1.0,1,Sfit,0.15994415829699324,0.0
500,3,0.75,1.0,1,Sfit,0.23411502876546086,0.0
1000,3,0.75,1.0,1,Sfit,0.17125648177437064,0.0
500,4,0.75,1.0,1,Sfit,0.1969129084665805,0.0
1000,4,0.75,1.0,1,Sfit,-0.07155931093686659,0.0
500,1,1.75,1.0,1,Sfit,-0.008216663434722287,0.0
1000,1,1.75,1.0,1,Sfit,-0.0008155458895313163,0.0
500,2,1.75,1.0,1,Sfit,-0.09084738267192874,0.0
1000,2,1.75,1.0,1,Sfit,0.02872088911346223,0.0
500,3,1.75,1.0,1,Sfit,-0.029497872018087696,0.0
1000,3,1.75,1.0,1,Sfit,0.053579810868418454,0.0
500,4,1.75,1.0,1,Sfit,-0.10684244100534153,0.0
1000,4,1.75,1.0,1,Sfit,0.0709390972718404,0.0
500,1,0.75,1.4142135623730951,1,Sfit,0.0030288743454757053,0.0
1000,1,0.75,1.4142135623730951,1,Sfit,0.005742374169554341,0.0
500,2,0.75,1.4142135623730951,1,Sfit,-0.16040371199195713,0.0
1000,2,0.75,1.4142135623730951,1,Sfit,-0.10503659299628501,0.0
500,3,0.75,1.4142135623730951,1,Sfit,Inf,0.0
1000,3,0.75,1.4142135623730951,1,Sfit,0.2531751481700961,0.0
500,4,0.75,1.4142135623730951,1,Sfit,-0.11498191494629642,0.0
1000,4,0.75,1.4142135623730951,1,Sfit,-0.053296168978820446,0.0
500,1,1.75,1.4142135623730951,1,Sfit,0.14456582073971072,0.0
1000,1,1.75,1.4142135623730951,1,Sfit,-0.11192689711283606,0.0
500,2,1.75,1.4142135623730951,1,Sfit,0.10715924509641352,0.0
1000,2,1.75,1.4142135623730951,1,Sfit,0.2444472163153958,0.0
500,3,1.75,1.4142135623730951,1,Sfit,0.4330045372232617,0.0
1000,3,1.75,1.4142135623730951,1,Sfit,0.017413013051081064,0.0
500,4,1.75,1.4142135623730951,1,Sfit,-0.09143886238401087,0.0
1000,4,1.75,1.4142135623730951,1,Sfit,-0.05449340988516651,0.0
500,1,0.75,1.0,2,Sfit,-0.10151156676074119,0.0
1000,1,0.75,1.0,2,Sfit,0.03431815416582143,0.0
500,2,0.75,1.0,2,Sfit,-0.02244837646444805,0.0
1000,2,0.75,1.0,2,Sfit,-0.09663154088811785,0.0
500,3,0.75,1.0,2,Sfit,-0.00236159237023713,0.0
1000,3,0.75,1.0,2,Sfit,0.1351592360436847,0.0
500,4,0.75,1.0,2,Sfit,-0.02403143985413723,0.0
1000,4,0.75,1.0,2,Sfit,0.0857084245450783,0.0
